Combined_Key	Country_Region	Population
Nova Scotia, Canada	Canada	977457
Ontario, Canada	Canada	14711827
Prince Edward Island, Canada	Canada	158158
Quebec, Canada	Canada	8537674
Saskatchewan, Canada	Canada	1181666
Yukon, Canada	Canada	41078
Diamond Princess, Canada	Canada	NA
Grand Princess, Canada	Canada	NA
Recovered, Canada	Canada	NA
Nunavut, Canada	Canada	38780
China	China	1404676330
Anhui, China	China	63240000
Beijing, China	China	21540000
Chongqing, China	China	31020000
Fujian, China	China	39410000
Gansu, China	China	26370000
Guangdong, China	China	113460000
Guangxi, China	China	49260000
Guizhou, China	China	36000000
Hainan, China	China	9340000
Hebei, China	China	75560000
Heilongjiang, China	China	37730000
Henan, China	China	96050000
Hubei, China	China	59170000
Hunan, China	China	68990000
Inner Mongolia, China	China	25340000
Jiangsu, China	China	80510000
Jiangxi, China	China	46480000
Jilin, China	China	27040000
Liaoning, China	China	43590000
Ningxia, China	China	6880000
Qinghai, China	China	6030000
Shaanxi, China	China	38640000
Shandong, China	China	100470000
Shanghai, China	China	24240000
Shanxi, China	China	37180000
Sichuan, China	China	83410000
Tianjin, China	China	15600000
Tibet, China	China	3440000
Xinjiang, China	China	24870000
Yunnan, China	China	48300000
Zhejiang, China	China	57370000
Unknown, China	China	NA
Hong Kong, China	China	7496988
Macau, China	China	649342
US	US	329466283
American Samoa, US	US	55641
Guam, US	US	164229
Northern Mariana Islands, US	US	55144
Virgin Islands, US	US	107268
Puerto Rico, US	US	3193694
Adjuntas, Puerto Rico, US	US	17363
Aguada, Puerto Rico, US	US	36694
Aguadilla, Puerto Rico, US	US	50265
Aguas Buenas, Puerto Rico, US	US	24814
Aibonito, Puerto Rico, US	US	22108
Anasco, Puerto Rico, US	US	26161
Arecibo, Puerto Rico, US	US	81966
Arroyo, Puerto Rico, US	US	17238
Barceloneta, Puerto Rico, US	US	23727
Barranquitas, Puerto Rico, US	US	27725
Bayamon, Puerto Rico, US	US	169269
Cabo Rojo, Puerto Rico, US	US	47515
Caguas, Puerto Rico, US	US	124606
Camuy, Puerto Rico, US	US	30504
Canovanas, Puerto Rico, US	US	44674
Carolina, Puerto Rico, US	US	146984
Catano, Puerto Rico, US	US	23121
Cayey, Puerto Rico, US	US	42409
Ceiba, Puerto Rico, US	US	10904
Ciales, Puerto Rico, US	US	15808
Cidra, Puerto Rico, US	US	38307
Coamo, Puerto Rico, US	US	38336
Comerio, Puerto Rico, US	US	18648
Corozal, Puerto Rico, US	US	32293
Culebra, Puerto Rico, US	US	1714
Dorado, Puerto Rico, US	US	36141
Fajardo, Puerto Rico, US	US	29454
Florida, Puerto Rico, US	US	11317
Guanica, Puerto Rico, US	US	15383
Guayama, Puerto Rico, US	US	39465
Guayanilla, Puerto Rico, US	US	17623
Guaynabo, Puerto Rico, US	US	83728
Gurabo, Puerto Rico, US	US	47093
Hatillo, Puerto Rico, US	US	39218
Hormigueros, Puerto Rico, US	US	15518
Humacao, Puerto Rico, US	US	50653
Isabela, Puerto Rico, US	US	40423
Jayuya, Puerto Rico, US	US	13891
Juana Diaz, Puerto Rico, US	US	44679
Juncos, Puerto Rico, US	US	38155
Lajas, Puerto Rico, US	US	22010
Lares, Puerto Rico, US	US	24276
Las Marias, Puerto Rico, US	US	7927
Las Piedras, Puerto Rico, US	US	37007
Loiza, Puerto Rico, US	US	24553
Luquillo, Puerto Rico, US	US	17665
Manati, Puerto Rico, US	US	37287
Maricao, Puerto Rico, US	US	5430
Maunabo, Puerto Rico, US	US	10321
Mayaguez, Puerto Rico, US	US	71530
Moca, Puerto Rico, US	US	34891
Morovis, Puerto Rico, US	US	30335
Naguabo, Puerto Rico, US	US	25761
Naranjito, Puerto Rico, US	US	27349
Orocovis, Puerto Rico, US	US	20220
Patillas, Puerto Rico, US	US	16211
Penuelas, Puerto Rico, US	US	19249
Ponce, Puerto Rico, US	US	131881
Quebradillas, Puerto Rico, US	US	22918
Rincon, Puerto Rico, US	US	13656
Rio Grande, Puerto Rico, US	US	48025
Sabana Grande, Puerto Rico, US	US	21712
Salinas, Puerto Rico, US	US	27128
San German, Puerto Rico, US	US	30227
San Juan, Puerto Rico, US	US	318441
San Lorenzo, Puerto Rico, US	US	35989
San Sebastian, Puerto Rico, US	US	35528
Santa Isabel, Puerto Rico, US	US	21209
Toa Alta, Puerto Rico, US	US	72025
Toa Baja, Puerto Rico, US	US	74271
Trujillo Alto, Puerto Rico, US	US	63674
Utuado, Puerto Rico, US	US	27395
Vega Alta, Puerto Rico, US	US	36061
Vega Baja, Puerto Rico, US	US	50023
Vieques, Puerto Rico, US	US	8386
Villalba, Puerto Rico, US	US	21372
Yabucoa, Puerto Rico, US	US	32282
Yauco, Puerto Rico, US	US	33575
Out of PR, Puerto Rico, US	US	NA
Unassigned, Puerto Rico, US	US	NA
Diamond Princess, US	US	NA
Grand Princess, US	US	NA
Alabama, US	US	4903185
Alaska, US	US	731545
Arizona, US	US	7278717
Arkansas, US	US	3017804
California, US	US	39512223
Colorado, US	US	5758736
Connecticut, US	US	3565287
Delaware, US	US	973764
District of Columbia, US	US	705749
Florida, US	US	21477737
Georgia, US	US	10617423
Hawaii, US	US	1415872
Idaho, US	US	1787065
Illinois, US	US	12671821
Indiana, US	US	6732219
Iowa, US	US	3155070
Kansas, US	US	2913314
Kentucky, US	US	4467673
Louisiana, US	US	4648794
Maine, US	US	1344212
Maryland, US	US	6045680
Massachusetts, US	US	6892503
Michigan, US	US	9986857
Minnesota, US	US	5639632
Mississippi, US	US	2976149
Missouri, US	US	6137428
Montana, US	US	1068778
Nebraska, US	US	1934408
Nevada, US	US	3080156
New Hampshire, US	US	1359711
New Jersey, US	US	8882190
New Mexico, US	US	2096829
New York, US	US	19453561
North Carolina, US	US	10488084
North Dakota, US	US	762062
Ohio, US	US	11689100
Oklahoma, US	US	3956971
Oregon, US	US	4217737
Pennsylvania, US	US	12801989
Rhode Island, US	US	1059361
South Carolina, US	US	5148714
South Dakota, US	US	884659
Tennessee, US	US	6829174
Texas, US	US	28995881
Utah, US	US	3205958
Vermont, US	US	623989
Virginia, US	US	8535519
Washington, US	US	7614893
West Virginia, US	US	1792147
Wisconsin, US	US	5822434
Wyoming, US	US	578759
Recovered, US	US	NA
Dukes and Nantucket, Massachusetts, US	US	28731
Kansas City, Missouri, US	US	488943
Michigan Department of Corrections (MDOC), Michigan, US	US	NA
Federal Correctional Institution (FCI), Michigan, US	US	NA
Air Force, US Military, US	US	NA
Army, US Military, US	US	NA
Marine Corps, US Military, US	US	NA
Navy, US Military, US	US	NA
Unassigned, US Military, US	US	NA
US Military, US	US	NA
Inmates, Federal Bureau of Prisons, US	US	NA
Staff, Federal Bureau of Prisons, US	US	NA
Federal Bureau of Prisons, US	US	NA
Bear River, Utah, US	US	186818
Central Utah, Utah, US	US	81954
Southeast Utah, Utah, US	US	40229
Southwest Utah, Utah, US	US	252042
TriCounty, Utah, US	US	56622
Weber-Morgan, Utah, US	US	272337
Veteran Hospitals, US	US	NA
Out of AL, Alabama, US	US	NA
Out of AK, Alaska, US	US	NA
Out of AZ, Arizona, US	US	NA
Out of AR, Arkansas, US	US	NA
Out of CA, California, US	US	NA
Out of CO, Colorado, US	US	NA
Out of CT, Connecticut, US	US	NA
Out of DE, Delaware, US	US	NA
Out of DC, District of Columbia, US	US	NA
Out of FL, Florida, US	US	NA
Out of GA, Georgia, US	US	NA
Out of HI, Hawaii, US	US	NA
Out of ID, Idaho, US	US	NA
Out of IL, Illinois, US	US	NA
Out of IN, Indiana, US	US	NA
Out of IA, Iowa, US	US	NA
Out of KS, Kansas, US	US	NA
Out of KY, Kentucky, US	US	NA
Out of LA, Louisiana, US	US	NA
Out of ME, Maine, US	US	NA
Out of MD, Maryland, US	US	NA
Out of MA, Massachusetts, US	US	NA
Out of MI, Michigan, US	US	NA
Out of MN, Minnesota, US	US	NA
Out of MS, Mississippi, US	US	NA
Out of MO, Missouri, US	US	NA
Out of MT, Montana, US	US	NA
Out of NE, Nebraska, US	US	NA
Out of NV, Nevada, US	US	NA
Out of NH, New Hampshire, US	US	NA
Out of NJ, New Jersey, US	US	NA
Out of NM, New Mexico, US	US	NA
Out of NY, New York, US	US	NA
Out of NC, North Carolina, US	US	NA
Out of ND, North Dakota, US	US	NA
Out of OH, Ohio, US	US	NA
Out of OK, Oklahoma, US	US	NA
Out of OR, Oregon, US	US	NA
Out of PA, Pennsylvania, US	US	NA
Out of RI, Rhode Island, US	US	NA
Out of SC, South Carolina, US	US	NA
Out of SD, South Dakota, US	US	NA
Out of TN, Tennessee, US	US	NA
Out of TX, Texas, US	US	NA
Out of UT, Utah, US	US	NA
Out of VT, Vermont, US	US	NA
Out of VA, Virginia, US	US	NA
Out of WA, Washington, US	US	NA
Out of WV, West Virginia, US	US	NA
Out of WI, Wisconsin, US	US	NA
Out of WY, Wyoming, US	US	NA
Unassigned, Alabama, US	US	NA
Unassigned, Alaska, US	US	NA
Unassigned, Arizona, US	US	NA
Unassigned, Arkansas, US	US	NA
Unassigned, California, US	US	NA
Unassigned, Colorado, US	US	NA
Unassigned, Connecticut, US	US	NA
Unassigned, Delaware, US	US	NA
Unassigned, District of Columbia, US	US	NA
Unassigned, Florida, US	US	NA
Unassigned, Georgia, US	US	NA
Unassigned, Hawaii, US	US	NA
Unassigned, Idaho, US	US	NA
Unassigned, Illinois, US	US	NA
Unassigned, Indiana, US	US	NA
Unassigned, Iowa, US	US	NA
Unassigned, Kansas, US	US	NA
Unassigned, Kentucky, US	US	NA
Unassigned, Louisiana, US	US	NA
Unassigned, Maine, US	US	NA
Unassigned, Maryland, US	US	NA
Unassigned, Massachusetts, US	US	NA
Unassigned, Michigan, US	US	NA
Unassigned, Minnesota, US	US	NA
Unassigned, Mississippi, US	US	NA
Unassigned, Missouri, US	US	NA
Unassigned, Montana, US	US	NA
Unassigned, Nebraska, US	US	NA
Unassigned, Nevada, US	US	NA
Unassigned, New Hampshire, US	US	NA
Unassigned, New Jersey, US	US	NA
Unassigned, New Mexico, US	US	NA
Unassigned, New York, US	US	NA
Unassigned, North Carolina, US	US	NA
Unassigned, North Dakota, US	US	NA
Unassigned, Ohio, US	US	NA
Unassigned, Oklahoma, US	US	NA
Unassigned, Oregon, US	US	NA
Unassigned, Pennsylvania, US	US	NA
Unassigned, Rhode Island, US	US	NA
Unassigned, South Carolina, US	US	NA
Unassigned, South Dakota, US	US	NA
Unassigned, Tennessee, US	US	NA
Unassigned, Texas, US	US	NA
Unassigned, Utah, US	US	NA
Unassigned, Vermont, US	US	NA
Unassigned, Virginia, US	US	NA
Unassigned, Washington, US	US	NA
Unassigned, West Virginia, US	US	NA
Unassigned, Wisconsin, US	US	NA
Unassigned, Wyoming, US	US	NA
Autauga, Alabama, US	US	55869
Baldwin, Alabama, US	US	223234
Barbour, Alabama, US	US	24686
Bibb, Alabama, US	US	22394
Blount, Alabama, US	US	57826
Bullock, Alabama, US	US	10101
Butler, Alabama, US	US	19448
Calhoun, Alabama, US	US	113605
Chambers, Alabama, US	US	33254
Cherokee, Alabama, US	US	26196
Chilton, Alabama, US	US	44428
Choctaw, Alabama, US	US	12589
Clarke, Alabama, US	US	23622
Clay, Alabama, US	US	13235
Cleburne, Alabama, US	US	14910
Coffee, Alabama, US	US	52342
Colbert, Alabama, US	US	55241
Conecuh, Alabama, US	US	12067
Coosa, Alabama, US	US	10663
Covington, Alabama, US	US	37049
Crenshaw, Alabama, US	US	13772
Cullman, Alabama, US	US	83768
Dale, Alabama, US	US	49172
Dallas, Alabama, US	US	37196
DeKalb, Alabama, US	US	71513
Elmore, Alabama, US	US	81209
Escambia, Alabama, US	US	36633
Etowah, Alabama, US	US	102268
Fayette, Alabama, US	US	16302
Franklin, Alabama, US	US	31362
Geneva, Alabama, US	US	26271
Greene, Alabama, US	US	8111
Hale, Alabama, US	US	14651
Henry, Alabama, US	US	17205
Houston, Alabama, US	US	105882
Jackson, Alabama, US	US	51626
Jefferson, Alabama, US	US	658573
Lamar, Alabama, US	US	13805
Lauderdale, Alabama, US	US	92729
Lawrence, Alabama, US	US	32924
Lee, Alabama, US	US	164542
Limestone, Alabama, US	US	98915
Lowndes, Alabama, US	US	9726
Macon, Alabama, US	US	18068
Madison, Alabama, US	US	372909
Marengo, Alabama, US	US	18863
Marion, Alabama, US	US	29709
Marshall, Alabama, US	US	96774
Mobile, Alabama, US	US	413210
Monroe, Alabama, US	US	20733
Montgomery, Alabama, US	US	226486
Morgan, Alabama, US	US	119679
Perry, Alabama, US	US	8923
Pickens, Alabama, US	US	19930
Pike, Alabama, US	US	33114
Randolph, Alabama, US	US	22722
Russell, Alabama, US	US	57961
St. Clair, Alabama, US	US	89512
Shelby, Alabama, US	US	217702
Sumter, Alabama, US	US	12427
Talladega, Alabama, US	US	79978
Tallapoosa, Alabama, US	US	40367
Tuscaloosa, Alabama, US	US	209355
Walker, Alabama, US	US	63521
Washington, Alabama, US	US	16326
Wilcox, Alabama, US	US	10373
Winston, Alabama, US	US	23629
Aleutians East, Alaska, US	US	3337
Aleutians West, Alaska, US	US	5634
Anchorage, Alaska, US	US	288000
Bethel, Alaska, US	US	18386
Bristol Bay, Alaska, US	US	836
Copper River, Alaska, US	US	2699
Chugach, Alaska, US	US	6751
Denali, Alaska, US	US	2097
Dillingham, Alaska, US	US	4916
Fairbanks North Star, Alaska, US	US	96849
Haines, Alaska, US	US	2530
Hoonah-Angoon, Alaska, US	US	2148
Juneau, Alaska, US	US	31974
Kenai Peninsula, Alaska, US	US	58708
Ketchikan Gateway, Alaska, US	US	13901
Kodiak Island, Alaska, US	US	12998
Kusilvak, Alaska, US	US	8314
Bristol Bay plus Lake and Peninsula, Alaska, US	US	2428
Matanuska-Susitna, Alaska, US	US	108317
Nome, Alaska, US	US	10004
North Slope, Alaska, US	US	9832
Northwest Arctic, Alaska, US	US	7621
Petersburg, Alaska, US	US	3266
Prince of Wales-Hyder, Alaska, US	US	6203
Sitka, Alaska, US	US	8493
Skagway, Alaska, US	US	1183
Southeast Fairbanks, Alaska, US	US	6893
Valdez-Cordova, Alaska, US	US	9202
Wrangell, Alaska, US	US	2502
Yakutat plus Hoonah-Angoon, Alaska, US	US	2727
Yukon-Koyukuk, Alaska, US	US	5230
Apache, Arizona, US	US	71887
Cochise, Arizona, US	US	125922
Coconino, Arizona, US	US	143476
Gila, Arizona, US	US	54018
Graham, Arizona, US	US	38837
Greenlee, Arizona, US	US	9498
La Paz, Arizona, US	US	21108
Maricopa, Arizona, US	US	4485414
Mohave, Arizona, US	US	212181
Navajo, Arizona, US	US	110924
Pima, Arizona, US	US	1047279
Pinal, Arizona, US	US	462789
Santa Cruz, Arizona, US	US	46498
Yavapai, Arizona, US	US	235099
Yuma, Arizona, US	US	213787
Arkansas, Arkansas, US	US	17486
Ashley, Arkansas, US	US	19657
Baxter, Arkansas, US	US	41932
Benton, Arkansas, US	US	279141
Boone, Arkansas, US	US	37432
Bradley, Arkansas, US	US	10763
Calhoun, Arkansas, US	US	5189
Carroll, Arkansas, US	US	28380
Chicot, Arkansas, US	US	10118
Clark, Arkansas, US	US	22320
Clay, Arkansas, US	US	14551
Cleburne, Arkansas, US	US	24919
Cleveland, Arkansas, US	US	7956
Columbia, Arkansas, US	US	23457
Conway, Arkansas, US	US	20846
Craighead, Arkansas, US	US	110332
Crawford, Arkansas, US	US	63257
Crittenden, Arkansas, US	US	47955
Cross, Arkansas, US	US	16419
Dallas, Arkansas, US	US	7009
Desha, Arkansas, US	US	11361
Drew, Arkansas, US	US	18219
Faulkner, Arkansas, US	US	126007
Franklin, Arkansas, US	US	17715
Fulton, Arkansas, US	US	12477
Garland, Arkansas, US	US	99386
Grant, Arkansas, US	US	18265
Greene, Arkansas, US	US	45325
Hempstead, Arkansas, US	US	21532
Hot Spring, Arkansas, US	US	33771
Howard, Arkansas, US	US	13202
Independence, Arkansas, US	US	37825
Izard, Arkansas, US	US	13629
Jackson, Arkansas, US	US	16719
Jefferson, Arkansas, US	US	66824
Johnson, Arkansas, US	US	26578
Lafayette, Arkansas, US	US	6624
Lawrence, Arkansas, US	US	16406
Lee, Arkansas, US	US	8857
Lincoln, Arkansas, US	US	13024
Little River, Arkansas, US	US	12259
Logan, Arkansas, US	US	21466
Lonoke, Arkansas, US	US	73309
Madison, Arkansas, US	US	16576
Marion, Arkansas, US	US	16694
Miller, Arkansas, US	US	43257
Mississippi, Arkansas, US	US	40651
Monroe, Arkansas, US	US	6701
Montgomery, Arkansas, US	US	8986
Nevada, Arkansas, US	US	8252
Newton, Arkansas, US	US	7753
Ouachita, Arkansas, US	US	23382
Perry, Arkansas, US	US	10455
Phillips, Arkansas, US	US	17782
Pike, Arkansas, US	US	10718
Poinsett, Arkansas, US	US	23528
Polk, Arkansas, US	US	19964
Pope, Arkansas, US	US	64072
Prairie, Arkansas, US	US	8062
Pulaski, Arkansas, US	US	391911
Randolph, Arkansas, US	US	17958
St. Francis, Arkansas, US	US	24994
Saline, Arkansas, US	US	122437
Scott, Arkansas, US	US	10281
Searcy, Arkansas, US	US	7881
Sebastian, Arkansas, US	US	127827
Sevier, Arkansas, US	US	17007
Sharp, Arkansas, US	US	17442
Stone, Arkansas, US	US	12506
Union, Arkansas, US	US	38682
Van Buren, Arkansas, US	US	16545
Washington, Arkansas, US	US	239187
White, Arkansas, US	US	78753
Woodruff, Arkansas, US	US	6320
Yell, Arkansas, US	US	21341
Alameda, California, US	US	1671329
Alpine, California, US	US	1129
Amador, California, US	US	39752
Butte, California, US	US	219186
Calaveras, California, US	US	45905
Colusa, California, US	US	21547
Contra Costa, California, US	US	1153526
Del Norte, California, US	US	27812
El Dorado, California, US	US	192843
Fresno, California, US	US	999101
Glenn, California, US	US	28393
Humboldt, California, US	US	135558
Imperial, California, US	US	181215
Inyo, California, US	US	18039
Kern, California, US	US	900202
Kings, California, US	US	152940
Lake, California, US	US	64386
Lassen, California, US	US	30573
Los Angeles, California, US	US	10039107
Madera, California, US	US	157327
Marin, California, US	US	258826
Mariposa, California, US	US	17203
Mendocino, California, US	US	86749
Merced, California, US	US	277680
Modoc, California, US	US	8841
Mono, California, US	US	14444
Monterey, California, US	US	434061
Napa, California, US	US	137744
Nevada, California, US	US	99755
Orange, California, US	US	3175692
Placer, California, US	US	398329
Plumas, California, US	US	18807
Riverside, California, US	US	2470546
Sacramento, California, US	US	1552058
San Benito, California, US	US	62808
San Bernardino, California, US	US	2180085
San Diego, California, US	US	3338330
San Francisco, California, US	US	881549
San Joaquin, California, US	US	762148
San Luis Obispo, California, US	US	283111
San Mateo, California, US	US	766573
Santa Barbara, California, US	US	446499
Santa Clara, California, US	US	1927852
Santa Cruz, California, US	US	273213
Shasta, California, US	US	180080
Sierra, California, US	US	3005
Siskiyou, California, US	US	43539
Solano, California, US	US	447643
Sonoma, California, US	US	494336
Stanislaus, California, US	US	550660
Sutter, California, US	US	96971
Tehama, California, US	US	65084
Trinity, California, US	US	12285
Tulare, California, US	US	466195
Tuolumne, California, US	US	54478
Ventura, California, US	US	846006
Yolo, California, US	US	220500
Yuba, California, US	US	78668
Adams, Colorado, US	US	517421
Alamosa, Colorado, US	US	16233
Arapahoe, Colorado, US	US	656590
Archuleta, Colorado, US	US	14029
Baca, Colorado, US	US	3581
Bent, Colorado, US	US	5577
Boulder, Colorado, US	US	326196
Broomfield, Colorado, US	US	70465
Chaffee, Colorado, US	US	20356
Cheyenne, Colorado, US	US	1831
Clear Creek, Colorado, US	US	9700
Conejos, Colorado, US	US	8205
Costilla, Colorado, US	US	3887
Crowley, Colorado, US	US	6061
Custer, Colorado, US	US	5068
Delta, Colorado, US	US	31162
Denver, Colorado, US	US	727211
Dolores, Colorado, US	US	2055
Douglas, Colorado, US	US	351154
Eagle, Colorado, US	US	55127
Elbert, Colorado, US	US	26729
El Paso, Colorado, US	US	720403
Fremont, Colorado, US	US	47839
Garfield, Colorado, US	US	60061
Gilpin, Colorado, US	US	6243
Grand, Colorado, US	US	15734
Gunnison, Colorado, US	US	17462
Hinsdale, Colorado, US	US	820
Huerfano, Colorado, US	US	6897
Jackson, Colorado, US	US	1392
Jefferson, Colorado, US	US	582881
Kiowa, Colorado, US	US	1406
Kit Carson, Colorado, US	US	7097
Lake, Colorado, US	US	8127
La Plata, Colorado, US	US	56221
Larimer, Colorado, US	US	356899
Las Animas, Colorado, US	US	14506
Lincoln, Colorado, US	US	5701
Logan, Colorado, US	US	22409
Mesa, Colorado, US	US	154210
Mineral, Colorado, US	US	769
Moffat, Colorado, US	US	13283
Montezuma, Colorado, US	US	26183
Montrose, Colorado, US	US	42758
Morgan, Colorado, US	US	29068
Otero, Colorado, US	US	18278
Ouray, Colorado, US	US	4952
Park, Colorado, US	US	18845
Phillips, Colorado, US	US	4265
Pitkin, Colorado, US	US	17767
Prowers, Colorado, US	US	12172
Pueblo, Colorado, US	US	168424
Rio Blanco, Colorado, US	US	6324
Rio Grande, Colorado, US	US	11267
Routt, Colorado, US	US	25638
Saguache, Colorado, US	US	6824
San Juan, Colorado, US	US	728
San Miguel, Colorado, US	US	8179
Sedgwick, Colorado, US	US	2248
Summit, Colorado, US	US	31011
Teller, Colorado, US	US	25388
Washington, Colorado, US	US	4908
Weld, Colorado, US	US	324492
Yuma, Colorado, US	US	10019
Fairfield, Connecticut, US	US	943332
Hartford, Connecticut, US	US	891720
Litchfield, Connecticut, US	US	180333
Middlesex, Connecticut, US	US	162436
New Haven, Connecticut, US	US	854757
New London, Connecticut, US	US	265206
Tolland, Connecticut, US	US	150721
Windham, Connecticut, US	US	116782
Kent, Delaware, US	US	180786
New Castle, Delaware, US	US	558753
Sussex, Delaware, US	US	234225
District of Columbia, District of Columbia ,US	US	705749
Alachua, Florida, US	US	269043
Baker, Florida, US	US	29210
Bay, Florida, US	US	174705
Bradford, Florida, US	US	28201
Brevard, Florida, US	US	601942
Broward, Florida, US	US	1952778
Calhoun, Florida, US	US	14105
Charlotte, Florida, US	US	188910
Citrus, Florida, US	US	149657
Clay, Florida, US	US	219252
Collier, Florida, US	US	384902
Columbia, Florida, US	US	71686
DeSoto, Florida, US	US	38001
Dixie, Florida, US	US	16826
Duval, Florida, US	US	957755
Escambia, Florida, US	US	318316
Flagler, Florida, US	US	115081
Franklin, Florida, US	US	12125
Gadsden, Florida, US	US	45660
Gilchrist, Florida, US	US	18582
Glades, Florida, US	US	13811
Gulf, Florida, US	US	13639
Hamilton, Florida, US	US	14428
Hardee, Florida, US	US	26937
Hendry, Florida, US	US	42022
Hernando, Florida, US	US	193920
Highlands, Florida, US	US	106221
Hillsborough, Florida, US	US	1471968
Holmes, Florida, US	US	19617
Indian River, Florida, US	US	159923
Jackson, Florida, US	US	46414
Jefferson, Florida, US	US	14246
Lafayette, Florida, US	US	8422
Lake, Florida, US	US	367118
Lee, Florida, US	US	770577
Leon, Florida, US	US	293582
Levy, Florida, US	US	41503
Liberty, Florida, US	US	8354
Madison, Florida, US	US	18493
Manatee, Florida, US	US	403253
Marion, Florida, US	US	365579
Martin, Florida, US	US	161000
Miami-Dade, Florida, US	US	2716940
Monroe, Florida, US	US	74228
Nassau, Florida, US	US	88625
Okaloosa, Florida, US	US	210738
Okeechobee, Florida, US	US	42168
Orange, Florida, US	US	1393452
Osceola, Florida, US	US	375751
Palm Beach, Florida, US	US	1496770
Pasco, Florida, US	US	553947
Pinellas, Florida, US	US	974996
Polk, Florida, US	US	724777
Putnam, Florida, US	US	74521
St. Johns, Florida, US	US	264672
St. Lucie, Florida, US	US	328297
Santa Rosa, Florida, US	US	184313
Sarasota, Florida, US	US	433742
Seminole, Florida, US	US	471826
Sumter, Florida, US	US	132420
Suwannee, Florida, US	US	44417
Taylor, Florida, US	US	21569
Union, Florida, US	US	15237
Volusia, Florida, US	US	553284
Wakulla, Florida, US	US	33739
Walton, Florida, US	US	74071
Washington, Florida, US	US	25473
Appling, Georgia, US	US	18386
Atkinson, Georgia, US	US	8165
Bacon, Georgia, US	US	11164
Baker, Georgia, US	US	3038
Baldwin, Georgia, US	US	44890
Banks, Georgia, US	US	19234
Barrow, Georgia, US	US	83240
Bartow, Georgia, US	US	107738
Ben Hill, Georgia, US	US	16700
Berrien, Georgia, US	US	19397
Bibb, Georgia, US	US	153159
Bleckley, Georgia, US	US	12873
Brantley, Georgia, US	US	19109
Brooks, Georgia, US	US	15457
Bryan, Georgia, US	US	39627
Bulloch, Georgia, US	US	79608
Burke, Georgia, US	US	22383
Butts, Georgia, US	US	24936
Calhoun, Georgia, US	US	6189
Camden, Georgia, US	US	54666
Candler, Georgia, US	US	10803
Carroll, Georgia, US	US	119992
Catoosa, Georgia, US	US	67580
Charlton, Georgia, US	US	13392
Chatham, Georgia, US	US	289430
Chattahoochee, Georgia, US	US	10907
Chattooga, Georgia, US	US	24789
Cherokee, Georgia, US	US	258773
Clarke, Georgia, US	US	128331
Clay, Georgia, US	US	2834
Clayton, Georgia, US	US	292256
Clinch, Georgia, US	US	6618
Cobb, Georgia, US	US	760141
Coffee, Georgia, US	US	43273
Colquitt, Georgia, US	US	45600
Columbia, Georgia, US	US	156714
Cook, Georgia, US	US	17270
Coweta, Georgia, US	US	148509
Crawford, Georgia, US	US	12404
Crisp, Georgia, US	US	22372
Dade, Georgia, US	US	16116
Dawson, Georgia, US	US	26108
Decatur, Georgia, US	US	26404
DeKalb, Georgia, US	US	759297
Dodge, Georgia, US	US	20605
Dooly, Georgia, US	US	13390
Dougherty, Georgia, US	US	87956
Douglas, Georgia, US	US	146343
Early, Georgia, US	US	10190
Echols, Georgia, US	US	4006
Effingham, Georgia, US	US	64296
Elbert, Georgia, US	US	19194
Emanuel, Georgia, US	US	22646
Evans, Georgia, US	US	10654
Fannin, Georgia, US	US	26188
Fayette, Georgia, US	US	114421
Floyd, Georgia, US	US	98498
Forsyth, Georgia, US	US	244252
Franklin, Georgia, US	US	23349
Fulton, Georgia, US	US	1063937
Gilmer, Georgia, US	US	31369
Glascock, Georgia, US	US	2971
Glynn, Georgia, US	US	85292
Gordon, Georgia, US	US	57963
Grady, Georgia, US	US	24633
Greene, Georgia, US	US	18324
Gwinnett, Georgia, US	US	936250
Habersham, Georgia, US	US	45328
Hall, Georgia, US	US	204441
Hancock, Georgia, US	US	8457
Haralson, Georgia, US	US	29792
Harris, Georgia, US	US	35236
Hart, Georgia, US	US	26205
Heard, Georgia, US	US	11923
Henry, Georgia, US	US	234561
Houston, Georgia, US	US	157863
Irwin, Georgia, US	US	9416
Jackson, Georgia, US	US	72977
Jasper, Georgia, US	US	14219
Jeff Davis, Georgia, US	US	15115
Jefferson, Georgia, US	US	15362
Jenkins, Georgia, US	US	8676
Johnson, Georgia, US	US	9643
Jones, Georgia, US	US	28735
Lamar, Georgia, US	US	19077
Lanier, Georgia, US	US	10423
Laurens, Georgia, US	US	47546
Lee, Georgia, US	US	29992
Liberty, Georgia, US	US	61435
Lincoln, Georgia, US	US	7921
Long, Georgia, US	US	19559
Lowndes, Georgia, US	US	117406
Lumpkin, Georgia, US	US	33610
McDuffie, Georgia, US	US	21312
McIntosh, Georgia, US	US	14378
Macon, Georgia, US	US	12947
Madison, Georgia, US	US	29880
Marion, Georgia, US	US	8359
Meriwether, Georgia, US	US	21167
Miller, Georgia, US	US	5718
Mitchell, Georgia, US	US	21863
Monroe, Georgia, US	US	27578
Montgomery, Georgia, US	US	9172
Morgan, Georgia, US	US	19276
Murray, Georgia, US	US	40096
Muscogee, Georgia, US	US	195769
Newton, Georgia, US	US	111744
Oconee, Georgia, US	US	40280
Oglethorpe, Georgia, US	US	15259
Paulding, Georgia, US	US	168667
Peach, Georgia, US	US	27546
Pickens, Georgia, US	US	32591
Pierce, Georgia, US	US	19465
Pike, Georgia, US	US	18962
Polk, Georgia, US	US	42613
Pulaski, Georgia, US	US	11137
